year,stateFull,state,Affiliation
1988,TEXAS,TX,REPUBLICAN
1988,UTAH,UT,REPUBLICAN
1988,VERMONT,VT,DIVIDED
1988,VIRGINIA,VA,REPUBLICAN
1988,WASHINGTON,WA,DIVIDED
1988,WEST VIRGINIA,WV,DIVIDED
1988,WISCONSIN,WI,DIVIDED
1988,WYOMING,WY,REPUBLICAN
1992,ALABAMA,AL,REPUBLICAN
1992,ALASKA,AK,REPUBLICAN
1992,ARIZONA,AZ,DIVIDED
1992,ARKANSAS,AR,DEMOCRAT
1992,CALIFORNIA,CA,DEMOCRAT
1992,COLORADO,CO,DIVIDED
1992,CONNECTICUT,CT,DEMOCRAT
1992,DELAWARE,DE,DEMOCRAT
1992,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1992,FLORIDA,FL,DIVIDED
1992,GEORGIA,GA,DIVIDED
1992,HAWAII,HI,DEMOCRAT
1992,IDAHO,ID,REPUBLICAN
1992,ILLINOIS,IL,DEMOCRAT
1992,INDIANA,IN,REPUBLICAN
1992,IOWA,IA,DEMOCRAT
1992,KANSAS,KS,REPUBLICAN
1992,KENTUCKY,KY,DIVIDED
1992,LOUISIANA,LA,DIVIDED
1992,MAINE,ME,DEMOCRAT
1992,MARYLAND,MD,DEMOCRAT
1992,MASSACHUSETTS,MA,DEMOCRAT
1992,MICHIGAN,MI,DEMOCRAT
1992,MINNESOTA,MN,DEMOCRAT
1992,MISSISSIPPI,MS,REPUBLICAN
1992,MISSOURI,MO,DEMOCRAT
1992,MONTANA,MT,DIVIDED
1992,NEBRASKA,NE,REPUBLICAN
1992,NEVADA,NV,DIVIDED
1992,NEW HAMPSHIRE,NH,DIVIDED
1992,NEW JERSEY,NJ,DIVIDED
1992,NEW MEXICO,NM,DEMOCRAT
1992,NEW YORK,NY,DEMOCRAT
1992,NORTH CAROLINA,NC,DIVIDED
1992,NORTH DAKOTA,ND,REPUBLICAN
1992,OHIO,OH,DIVIDED
1992,OKLAHOMA,OK,REPUBLICAN
1992,OREGON,OR,DEMOCRAT
1992,PENNSYLVANIA,PA,DEMOCRAT
1992,RHODE ISLAND,RI,DEMOCRAT
