state,year,Age,PregnancyRate,AbortionRate,BirthRate,AbortionRatio,Pregnancies,Abortions,Births,Miscarriages,Population
AZ,2006,35-39,68.2,8,49.5,162.3,13640,1610,9892,2140,199961
AZ,2006,40>,16.2,3.7,10.1,362,3360,760,2100,500,207042
AZ,2007,<15,11.3,5.7,4.2,1364.9,490,250,181,60,43242
AZ,2007,15-17,48.4,7.5,33.4,224.5,6340,980,4379,970,130982
AZ,2007,18-19,148,25.4,100,254.1,12560,2160,8489,1910,84883
AZ,2007,20-24,195.5,29.1,136.2,213.9,40010,5960,27875,6170,204621
AZ,2007,25-29,178,18.9,131.1,143.9,39160,4150,28833,6180,220007
AZ,2007,30-34,142.5,12,107.8,110.9,27810,2330,21037,4440,195182
AZ,2007,35-39,65.9,7,48.5,143.6,13540,1430,9968,2140,205433
AZ,2007,40>,16.9,3.5,10.8,327.1,3460,730,2219,520,204918
AZ,2008,<15,7.8,3,3.8,782.4,340,130,164,50,43278
AZ,2008,15-17,47.1,8.3,31.6,262.2,6200,1090,4164,940,131594
AZ,2008,18-19,133.9,25.7,88.1,291.9,12000,2300,7887,1810,89563
AZ,2008,20-24,187.3,33.1,125.7,263.5,39090,6910,26240,5940,208701
AZ,2008,25-29,175.8,20.7,127.6,161.9,38870,4570,28207,6100,221050
AZ,2008,30-34,139.2,12.7,104.4,121.5,27560,2510,20662,4380,197927
AZ,2008,35-39,66.7,8,48.2,166.5,13850,1670,10016,2170,207586
AZ,2008,40>,15.6,2.9,10.4,280.6,3170,590,2102,480,202829
AZ,2009,<15,4.7,1,3.1,315,210,40,133,30,43367
AZ,2009,15-17,38.2,5.6,26.8,207.4,5040,730,3527,780,131749
AZ,2009,18-19,118.6,20.8,79.7,261.1,10930,1920,7347,1660,92164
AZ,2009,20-24,167.8,28.5,113.7,251,35380,6020,23972,5400,210866
AZ,2009,25-29,167.1,19.4,121.4,159.8,36470,4240,26507,5730,218266
AZ,2009,30-34,131,12.2,98,124.5,26420,2460,19761,4200,201693
AZ,2009,35-39,62.8,7.6,45.4,166.3,13020,1570,9414,2040,207237
AZ,2009,40>,15.6,2.6,10.7,240.1,3130,510,2137,480,200589
AZ,2010,<15,4.6,1.4,2.5,574.6,200,60,108,30,43316
AZ,2010,15-17,31.8,4.6,22.3,206.4,4190,610,2934,650,131768
AZ,2010,18-19,101.8,15.7,70.5,222.4,9320,1440,6455,1430,91582
AZ,2010,20-24,151,23.7,104.1,227.6,32450,5090,22371,4980,214922
AZ,2010,25-29,159,17.1,116.9,145.9,34050,3650,25027,5370,214174
AZ,2010,30-34,126,11.5,94.5,121.6,25860,2360,19391,4110,205278
AZ,2010,35-39,61.3,7.1,44.5,160.2,12550,1460,9119,1970,204692
AZ,2010,40>,15.2,2.6,10.3,255.2,3070,530,2072,470,201737
AZ,2011,<15,4.3,1.4,2.3,576,190,60,102,30,43507
AZ,2011,15-17,27.3,4.3,18.8,229.9,3580,570,2462,550,131176
AZ,2011,18-19,98.6,16.7,66.8,250.5,8760,1490,5940,1340,88934
AZ,2011,20-24,143.9,23.6,98.3,240,32060,5250,21898,4910,222818
AZ,2011,25-29,158.1,19.2,114.2,167.7,33750,4090,24377,5280,213448
AZ,2011,30-34,125.1,12.4,92.9,133.6,26170,2600,19431,4150,209227
AZ,2011,35-39,63.2,7.8,45.5,171.1,12700,1570,9150,1990,200985
